127.0.0.1, 2016-08-31 23:08:20, GET, /datos/appadmin/hooks, HTTP/1.1, 200, 0.742376
127.0.0.1, 2016-08-31 23:08:26, POST, /admin/default/edit/datos/controllers/academia.py, HTTP/1.1, 200, 0.071296
127.0.0.1, 2016-08-31 23:08:29, GET, /datos/appadmin/update/db1/auth_user/6, HTTP/1.1, 200, 0.255652
127.0.0.1, 2016-08-31 23:08:34, POST, /datos/appadmin/update/db1/auth_user/6, HTTP/1.1, 303, 0.188453
127.0.0.1, 2016-08-31 23:08:34, GET, /datos/appadmin/select/db1, HTTP/1.1, 200, 0.281121
127.0.0.1, 2016-08-31 23:08:37, GET, /datos/academia/agree_teacher, HTTP/1.1, 200, 0.166912
127.0.0.1, 2016-08-31 23:08:37, GET, /datos/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.004965
127.0.0.1, 2016-08-31 23:08:37, GET, /datos/static/js/jquery.js, HTTP/1.1, 304, 0.001773
127.0.0.1, 2016-08-31 23:08:37, GET, /datos/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.003616
127.0.0.1, 2016-08-31 23:08:37, GET, /datos/static/js/web2py.js, HTTP/1.1, 304, 0.005352
127.0.0.1, 2016-08-31 23:08:37, GET, /datos/static/css/calendar.css, HTTP/1.1, 304, 0.004043
127.0.0.1, 2016-08-31 23:08:37, GET, /datos/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.003256
127.0.0.1, 2016-08-31 23:08:37, GET, /datos/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.001734
127.0.0.1, 2016-08-31 23:08:37, GET, /datos/static/js/calendar.js, HTTP/1.1, 304, 0.006921
127.0.0.1, 2016-08-31 23:08:37, GET, /datos/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.006943
127.0.0.1, 2016-08-31 23:08:37, GET, /datos/static/js/share.js, HTTP/1.1, 304, 0.001249
127.0.0.1, 2016-08-31 23:08:37, GET, /datos/static/images/twitter.png, HTTP/1.1, 304, 0.005952
127.0.0.1, 2016-08-31 23:08:37, GET, /datos/static/images/gplus-32.png, HTTP/1.1, 304, 0.002786
127.0.0.1, 2016-08-31 23:08:37, GET, /datos/static/images/facebook.png, HTTP/1.1, 304, 0.005228
127.0.0.1, 2016-08-31 23:08:39, GET, /datos/academia/show_teacher/6, HTTP/1.1, 200, 0.177951
127.0.0.1, 2016-08-31 23:08:40, POST, /datos/academia/show_teacher/6, HTTP/1.1, 303, 0.194076
127.0.0.1, 2016-08-31 23:08:41, GET, /datos/academia/update_group_teacher/6, HTTP/1.1, 303, 0.233214
127.0.0.1, 2016-08-31 23:08:41, GET, /datos/academia/agree_teacher, HTTP/1.1, 200, 0.267641
127.0.0.1, 2016-08-31 23:08:55, POST, /admin/default/edit/datos/controllers/academia.py, HTTP/1.1, 200, 0.071594
127.0.0.1, 2016-08-31 23:09:19, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.316866
127.0.0.1, 2016-08-31 23:09:20, GET, /datos/appadmin/hooks, HTTP/1.1, 200, 0.790519
127.0.0.1, 2016-08-31 23:20:08, GET, /datos/academia/update_group_teacher/6, HTTP/1.1, 303, 0.134010
127.0.0.1, 2016-08-31 23:20:08, GET, /datos/academia/agree_teacher, HTTP/1.1, 200, 0.174225
127.0.0.1, 2016-08-31 23:20:20, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.954093
127.0.0.1, 2016-08-31 23:20:25, GET, /datos/appadmin/hooks, HTTP/1.1, 200, 5.639843
127.0.0.1, 2016-08-31 23:21:20, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.316317
127.0.0.1, 2016-08-31 23:21:20, GET, /datos/appadmin/hooks, HTTP/1.1, 200, 0.767143
